state_code,n_decisions,n_denied,denial_rate
NA,27,27,1.0
RI,43,20,0.465
TX,4697,2181,0.464
LA,266,121,0.455
AK,199,84,0.422
FL,4659,1923,0.413
MS,258,104,0.403
HI,76,30,0.395
GA,2675,1052,0.393
NH,95,35,0.368
OK,237,87,0.367
NV,793,291,0.367
MD,900,328,0.364
MI,460,166,0.361
NM,423,152,0.359
AL,838,301,0.359
KY,276,97,0.351
ND,80,28,0.35
OH,599,208,0.347
MT,185,64,0.346
IN,512,177,0.346
CT,517,179,0.346
SC,1364,463,0.339
PA,2196,743,0.338
ME,80,27,0.338
DE,221,74,0.335
UT,301,99,0.329
AZ,1453,477,0.328
AR,267,86,0.322
KS,274,87,0.318
CO,779,247,0.317
TN,711,223,0.314
IL,1207,374,0.31
MO,530,162,0.306
NE,360,109,0.303
VA,1691,495,0.293
MA,381,111,0.291
WY,90,26,0.289
NJ,2305,641,0.278
WV,113,31,0.274
ID,191,52,0.272
OR,561,152,0.271
DC,157,42,0.268
NC,3164,841,0.266
IA,722,183,0.253
WI,733,184,0.251
NY,3664,921,0.251
VT,40,10,0.25
MN,1697,422,0.249
SD,176,43,0.244
CA,9038,2086,0.231
WA,1538,338,0.22
